State,Population,Median Age,Household Income,Per Capita Income,Poverty Count,Poverty Rate
Alabama,5054253.0,39.3,62027.0,34835.0,768185.0,15.198784073531737
Alaska,733971.0,35.6,89336.0,44928.0,72978.0,9.942899651348624
Arizona,7268175.0,38.8,76872.0,40736.0,907125.0,12.480780938818892
Arkansas,3032651.0,38.4,58773.0,33147.0,471783.0,15.55678513617294
California,39242785.0,37.6,96334.0,47977.0,4610600.0,11.748911296688041
Colorado,5810774.0,37.5,92470.0,50489.0,534188.0,9.193061027670325
Connecticut,3598348.0,41.2,93760.0,54409.0,351948.0,9.780821643709835
Delaware,1005872.0,41.5,82855.0,44219.0,105246.0,10.463160322585777
District of Columbia,672079.0,34.9,106287.0,75253.0,94140.0,14.007281882040653
Florida,21928881.0,42.6,71711.0,41055.0,2707698.0,12.347634154246174
Georgia,10822590.0,37.4,74664.0,39525.0,1423159.0,13.14989295538314
Hawaii,1445635.0,40.6,98317.0,44823.0,140461.0,9.716214673828455
Idaho,1893296.0,37.1,74636.0,37169.0,196060.0,10.355485882820224
Illinois,12692653.0,38.9,81702.0,45104.0,1454217.0,11.457155568658498
Indiana,6811752.0,38.0,70051.0,37178.0,807582.0,11.855716414807821
Iowa,3195937.0,38.6,73147.0,39728.0,340362.0,10.64983446169308
Kansas,2937569.0,37.2,72639.0,39638.0,328475.0,11.181865004702868
Kentucky,4510725.0,39.1,62417.0,34960.0,707480.0,15.68439663247039
Louisiana,4621025.0,37.8,60023.0,34211.0,848769.0,18.367548325317436
Maine,1377400.0,44.8,71773.0,42035.0,144263.0,10.473573399157834
Maryland,6170738.0,39.3,101652.0,51689.0,564966.0,9.155566157564946
Massachusetts,6992395.0,40.0,101341.0,56284.0,676516.0,9.675025509857495
Michigan,10051595.0,40.1,71149.0,39538.0,1284470.0,12.778767946778595
Minnesota,5713716.0,38.6,87556.0,46957.0,514300.0,9.001147414397215
Mississippi,2951438.0,38.4,54915.0,30529.0,543697.0,18.421427114511637
Missouri,6168181.0,38.9,68920.0,38497.0,756528.0,12.265009733015292
Montana,1105072.0,40.2,69922.0,39842.0,129998.0,11.7637583795445
Nebraska,1965926.0,37.1,74985.0,40637.0,197300.0,10.035983043105386
Nevada,3141000.0,38.9,75561.0,39963.0,390414.0,12.42960840496657
New Hampshire,1387834.0,43.2,95628.0,50867.0,96457.0,6.950182802842415
New Jersey,9267014.0,40.1,101050.0,53118.0,889287.0,9.596262614904866
New Mexico,2114768.0,39.2,62125.0,34823.0,375381.0,17.750457733425133
New York,19872319.0,39.6,84578.0,49520.0,2656674.0,13.368716554922452
North Carolina,10584340.0,39.1,69904.0,39616.0,1355827.0,12.80974534075814
North Dakota,779361.0,35.7,75949.0,42474.0,79628.0,10.217088101662773
Ohio,11780046.0,39.6,69680.0,39455.0,1519610.0,12.899864737370295
Oklahoma,3995260.0,36.9,63603.0,34859.0,593820.0,14.863112788654556
Oregon,4238714.0,40.1,80426.0,44063.0,494736.0,11.67184197848687
Pennsylvania,12986518.0,40.9,76081.0,43104.0,1480981.0,11.403988351612034
Rhode Island,1095371.0,40.5,86372.0,45919.0,114890.0,10.488683742768432
South Carolina,5212774.0,40.1,66818.0,37993.0,719720.0,13.806852167387268
South Dakota,899194.0,37.7,72421.0,38880.0,104511.0,11.622742144631747
Tennessee,6986082.0,38.9,67097.0,37866.0,940092.0,13.456641362068181
Texas,29640343.0,35.5,76292.0,39446.0,4005417.0,13.51339625185849
Utah,3331187.0,31.7,91750.0,39240.0,280516.0,8.420902218938775
Vermont,645254.0,43.0,78024.0,44365.0,63902.0,9.903386883304869
Virginia,8657499.0,38.8,90974.0,49217.0,834866.0,9.64326995590759
Washington,7740984.0,38.2,94952.0,51493.0,753455.0,9.73332330876798
West Virginia,1784462.0,42.7,57917.0,32949.0,287660.0,16.12026481931249
Wisconsin,5892023.0,40.1,75670.0,42019.0,609003.0,10.336059448511996
Wyoming,579761.0,38.8,74815.0,41006.0,60704.0,10.470521473503737
Puerto Rico,3254885.0,44.2,25096.0,16794.0,1340637.0,41.18845980733574
